B0CT4BB651,Amazon,Stanley IceFlow Flip Straw Tumbler with Handle 30 oz | Twist On Lid and Flip Up Straw | Leak Resistant Water Bottle | Insulated Stainless Steel |BPA-Free | Lilac,"These bold, colorful tumblers are made to keep you hydrated in a fully functional style. Ideal for car commutes or workouts at home, it has a built-in flip straw for easy and effortless sipping. Snap it shut and the double-wall vacuum insulation will keep your drink fully leak resistant and extra cold for hours. It fits comfortably in your vehicle’s cup holder (treadmills and spin cycles, too!) and the folding handle lets you quickly grab and go",$35.00,"26,282 ratings",4.6 out of 5 stars
B01LR5S6HK,Amazon,Amazon Basics Neoprene Dumbbell Hand Weights,,$21.99,"106,798 ratings",4.8 out of 5 stars
